algorithm,parameterSpec,fileSizeBytes,round,keyGenMs,aesEncryptMs,encapsulateMs,reKeyGenMs,reEncryptMs,decapsulateMs,aesDecryptMs,totalMs,capsuleBytes,ciphertextBytes,success
RSA-PRE,common-modulus-3072-demo,1024,1,6.6472,2.1929,5.6195,0.0375,7.2433,7.3889,0.3198,29.4515,444,1052,true
RSA-PRE,common-modulus-3072-demo,1024,2,6.5968,2.2701,4.0101,0.0698,7.3646,6.7182,0.1761,27.2092,444,1052,true
RSA-PRE,common-modulus-3072-demo,1024,3,2.7412,1.9556,3.4871,0.0080,6.9909,7.6026,0.1068,22.8945,444,1052,true
RSA-PRE,common-modulus-3072-demo,102400,1,2.5148,3.5587,3.5714,0.0085,6.6684,6.9183,1.2919,24.5351,444,102428,true
RSA-PRE,common-modulus-3072-demo,102400,2,2.1970,2.2141,2.4802,0.0149,9.0746,7.0563,1.2861,24.3265,444,102428,true
RSA-PRE,common-modulus-3072-demo,102400,3,3.3769,3.3624,2.3181,0.0104,6.8884,7.3662,1.1709,24.4976,444,102428,true
RSA-PRE,common-modulus-3072-demo,1048576,1,3.8325,10.9726,2.2268,0.0076,6.6611,7.0301,9.8275,40.5603,444,1048604,true
RSA-PRE,common-modulus-3072-demo,1048576,2,1.8290,11.1475,2.1483,0.0058,6.1572,6.5041,9.5968,37.3909,444,1048604,true
RSA-PRE,common-modulus-3072-demo,1048576,3,1.9460,11.2566,2.3825,0.0050,6.3508,6.5064,9.5314,37.9805,444,1048604,true
RSA-PRE,common-modulus-3072-demo,10485760,1,1.5994,100.4982,2.4640,0.0060,6.1935,6.8680,98.5063,216.1385,444,10485788,true
RSA-PRE,common-modulus-3072-demo,10485760,2,2.0050,98.7187,2.3785,0.0091,6.3158,6.4965,101.1870,217.1136,444,10485788,true
RSA-PRE,common-modulus-3072-demo,10485760,3,1.6137,97.9480,2.0959,0.0046,6.0856,6.8739,100.7197,215.3449,444,10485788,true
ECC-PRE,P-256-demo,1024,1,8.4671,1.3916,10.5829,0.3277,4.7132,4.9615,0.0473,30.4953,125,1052,true
ECC-PRE,P-256-demo,1024,2,9.6121,1.4381,11.0167,0.1751,4.8721,4.5236,0.0441,31.6846,125,1052,true
ECC-PRE,P-256-demo,1024,3,9.6564,1.7476,10.8145,0.2516,4.2210,4.5147,0.0514,31.2607,125,1052,true
ECC-PRE,P-256-demo,102400,1,6.6176,2.5882,8.6411,0.3051,3.7013,3.6056,1.0810,26.5423,125,102428,true
ECC-PRE,P-256-demo,102400,2,7.0886,2.4394,8.1812,0.2880,3.9206,3.6560,1.1182,26.6949,125,102428,true
ECC-PRE,P-256-demo,102400,3,7.1154,2.6835,8.2357,0.2781,3.5934,3.5323,1.1294,26.5700,125,102428,true
ECC-PRE,P-256-demo,1048576,1,6.8101,10.9071,8.1053,0.1479,3.9683,4.1725,9.6723,43.7866,125,1048604,true
ECC-PRE,P-256-demo,1048576,2,6.6627,11.6060,8.7312,0.3928,3.8191,3.7119,9.8829,44.8090,125,1048604,true
ECC-PRE,P-256-demo,1048576,3,6.9016,11.1377,8.0306,0.1662,3.5916,3.8427,9.5232,43.1962,125,1048604,true
ECC-PRE,P-256-demo,10485760,1,6.8219,108.8190,9.1655,0.1662,3.8988,3.9589,102.9034,235.7379,125,10485788,true
ECC-PRE,P-256-demo,10485760,2,6.4066,97.9743,8.3054,0.1074,3.4516,3.2086,97.2765,216.7347,125,10485788,true
ECC-PRE,P-256-demo,10485760,3,6.3692,97.4511,8.5308,0.1320,3.3337,4.3951,97.5636,217.7810,125,10485788,true
