fileSizeBytes,round,encryptMs,encapsulateMs,decapsulateMs,decryptMs,recovered,unauthorizedRejected
1024,1,24.8034,27.6138,3.3396,0.4055,true,true
1024,2,2.1068,4.1514,2.0574,0.1571,true,true
1024,3,1.2099,3.0382,1.6666,0.1396,true,true
1024,4,1.0340,4.0245,1.6820,0.1349,true,true
1024,5,0.9890,2.9838,1.6487,0.2729,true,true
1024,6,1.1292,3.0052,1.6335,0.1191,true,true
1024,7,0.9868,5.3174,2.4122,0.1144,true,true
1024,8,1.1322,3.7777,1.8666,0.2046,true,true
1024,9,1.3886,4.7578,3.0853,0.2064,true,true
1024,10,1.9166,4.7532,2.9827,0.1820,true,true
1024,11,1.7494,5.3523,2.1546,0.0810,true,true
1024,12,0.9403,2.8655,1.5247,0.0801,true,true
1024,13,0.9177,2.7945,1.5079,0.7762,true,true
1024,14,1.1085,2.5530,1.4831,0.0881,true,true
1024,15,0.7511,2.7735,1.5627,0.2051,true,true
1024,16,0.8189,3.1361,1.9130,0.0963,true,true
1024,17,0.8477,2.7182,1.4267,0.0739,true,true
1024,18,0.8306,2.6794,1.4467,0.0765,true,true
1024,19,0.7453,2.3598,1.8154,0.1640,true,true
1024,20,1.7387,3.5298,1.4222,0.0728,true,true
1024,21,1.1675,3.3023,1.3817,0.0683,true,true
1024,22,0.7944,3.3531,1.3393,0.0579,true,true
1024,23,1.0456,2.3527,1.4357,0.0567,true,true
1024,24,0.6688,2.4792,1.3164,0.0541,true,true
1024,25,0.8608,2.6628,1.2664,0.0657,true,true
1024,26,1.4980,3.0038,1.6663,0.1439,true,true
1024,27,0.7535,2.9272,1.4624,0.0539,true,true
1024,28,1.5024,4.2070,1.2987,0.0611,true,true
1024,29,0.9293,4.6049,2.2045,0.1034,true,true
1024,30,0.8395,2.5037,1.4352,0.0717,true,true
102400,1,3.1344,2.4549,1.2818,1.4778,true,true
102400,2,2.1714,2.5871,1.7189,1.8327,true,true
102400,3,2.2759,3.0764,1.4778,1.5816,true,true
102400,4,2.2856,2.6334,1.3383,1.8404,true,true
102400,5,2.2704,2.3304,1.2626,1.4729,true,true
102400,6,2.5238,2.8276,1.5820,1.5356,true,true
102400,7,4.0492,3.4892,1.4026,1.5712,true,true
102400,8,2.1846,2.3626,1.3523,1.4734,true,true
102400,9,2.4170,3.0806,2.0592,1.4508,true,true
102400,10,2.3402,2.4168,1.1640,1.4455,true,true
102400,11,2.0403,2.0863,1.1427,1.4198,true,true
102400,12,1.9867,2.1651,1.2626,1.4125,true,true
102400,13,1.9536,2.7246,3.3452,1.5254,true,true
102400,14,2.0036,1.9439,1.0908,1.3699,true,true
102400,15,1.8857,1.8704,1.0563,1.3508,true,true
102400,16,1.9027,1.8544,1.2618,1.3712,true,true
102400,17,2.1594,2.0778,1.1220,1.3630,true,true
102400,18,1.9851,1.9373,1.0537,1.3056,true,true
102400,19,1.8828,2.1199,1.1182,1.3437,true,true
102400,20,2.0024,2.0399,1.0571,1.3287,true,true
102400,21,2.5602,2.9867,1.1017,1.3027,true,true
102400,22,2.9238,2.9876,1.1264,1.3110,true,true
102400,23,2.0382,1.9104,1.0618,1.3239,true,true
102400,24,2.1448,1.9532,1.0411,1.2759,true,true
102400,25,1.7891,2.1584,1.0408,1.4025,true,true
102400,26,1.8760,2.7403,2.1775,2.0952,true,true
102400,27,3.1423,4.1527,2.0345,2.1272,true,true
102400,28,4.2421,3.2975,2.4002,1.3881,true,true
102400,29,2.7577,3.7389,1.4501,1.3719,true,true
102400,30,2.0898,2.0228,1.1171,1.3381,true,true
1048576,1,14.9114,3.7567,1.4782,13.7165,true,true
1048576,2,14.5685,2.2262,1.0516,14.1169,true,true
1048576,3,14.7887,2.3300,1.0785,13.3335,true,true
1048576,4,13.9304,2.8687,1.2541,13.3407,true,true
1048576,5,13.2803,2.1932,1.0515,12.6982,true,true
1048576,6,13.3583,2.0278,1.1038,13.3423,true,true
1048576,7,13.8344,2.2462,1.1005,13.6527,true,true
1048576,8,15.3897,2.2628,1.3647,14.5661,true,true
1048576,9,14.7793,3.5658,1.2028,13.8767,true,true
1048576,10,14.4518,2.4432,1.0764,14.3084,true,true
1048576,11,14.3388,2.2240,1.0006,13.0524,true,true
1048576,12,13.7135,2.1651,1.0599,12.8520,true,true
1048576,13,13.9759,2.1994,1.0477,12.8166,true,true
1048576,14,13.6579,2.2415,1.0148,12.4072,true,true
1048576,15,13.4355,2.3158,1.0273,12.3822,true,true
1048576,16,13.2195,2.1700,1.1214,12.7938,true,true
1048576,17,13.2254,2.0100,1.0847,12.6893,true,true
1048576,18,13.4387,2.2759,0.9651,11.7168,true,true
1048576,19,12.4192,1.9320,0.9618,12.1163,true,true
1048576,20,13.6378,1.9254,0.9777,12.3719,true,true
1048576,21,13.2677,1.9501,0.9666,12.5695,true,true
1048576,22,13.2733,1.8524,0.9619,13.3005,true,true
1048576,23,13.4339,2.0148,1.0350,12.5927,true,true
1048576,24,13.1669,2.2656,0.9405,12.5647,true,true
1048576,25,13.2827,1.9076,0.9401,12.6064,true,true
1048576,26,14.0312,3.2109,1.2213,13.5217,true,true
1048576,27,15.8428,2.3686,1.1435,15.3484,true,true
1048576,28,14.6605,2.9649,1.1482,13.5943,true,true
1048576,29,15.4296,2.1493,1.0367,13.8604,true,true
1048576,30,14.0005,1.9519,0.9561,12.6430,true,true
10485760,1,124.5736,2.4186,1.2231,121.7762,true,true
10485760,2,123.9394,2.0637,0.9433,122.7092,true,true
10485760,3,128.0289,2.0782,0.9926,124.4114,true,true
10485760,4,122.0943,2.4502,1.0980,123.1556,true,true
10485760,5,127.2658,2.1309,0.9721,125.3920,true,true
10485760,6,131.4484,2.2616,1.0538,127.5375,true,true
10485760,7,123.9820,3.2033,1.0476,120.1395,true,true
10485760,8,135.9405,2.1043,0.9364,122.9088,true,true
10485760,9,120.5255,2.0589,0.9323,121.5068,true,true
10485760,10,120.6097,2.2027,0.9233,119.6190,true,true
10485760,11,121.1445,2.0564,0.8974,119.4096,true,true
10485760,12,121.3637,2.1828,0.9080,122.9930,true,true
10485760,13,128.4265,2.3941,1.1108,120.7221,true,true
10485760,14,121.1118,2.1961,0.8859,119.7662,true,true
10485760,15,134.8227,2.0285,0.9448,122.8126,true,true
10485760,16,120.4030,1.8967,1.1129,118.5282,true,true
10485760,17,125.4866,1.8935,0.8892,122.3726,true,true
10485760,18,123.3488,2.1428,0.9028,120.6540,true,true
10485760,19,136.4313,2.6992,0.9684,121.6864,true,true
10485760,20,121.8962,2.1481,0.9569,121.3450,true,true
10485760,21,131.8922,2.4495,0.9740,124.0881,true,true
10485760,22,25.5257,2.0124,1.0584,21.0637,true,true
10485760,23,22.4406,1.8681,0.8962,22.1227,true,true
10485760,24,23.0187,2.4000,0.8424,21.2000,true,true
10485760,25,29.8845,2.3696,0.8926,22.3687,true,true
10485760,26,23.4835,2.1523,0.9822,22.8790,true,true
10485760,27,21.5012,2.2221,1.0202,22.3576,true,true
10485760,28,24.0226,2.0479,0.9188,21.8254,true,true
10485760,29,22.8155,1.8942,0.9201,21.6413,true,true
10485760,30,24.8985,2.0540,0.9477,3.1506,true,true
