fileSizeBytes,round,chunkBytes,chunks,encryptMs,decryptVerifyMs,observedHeapPeakDeltaBytes,observedHeapPeakPercent,configuredPlaintextBufferBytes,merkleVerified,success
1048576,1,131072,8,34.6520,24.5530,2359280,224.9985,131072,true,true
1048576,2,131072,8,35.6515,28.5089,1394904,133.0284,131072,true,true
1048576,3,131072,8,63.3025,22.3522,4849816,462.5145,131072,true,true
1048576,4,131072,8,31.4734,24.2260,4456512,425.0061,131072,true,true
1048576,5,131072,8,31.1071,23.2771,4961376,473.1537,131072,true,true
1048576,6,131072,8,26.2228,26.5376,5243072,500.0183,131072,true,true
1048576,7,131072,8,40.5872,21.1241,5505272,525.0237,131072,true,true
1048576,8,131072,8,28.9374,20.7301,393280,37.5061,131072,true,true
1048576,9,131072,8,27.0835,21.0112,655472,62.5107,131072,true,true
1048576,10,131072,8,27.9078,23.6162,1572720,149.9863,131072,true,true
1048576,11,131072,8,26.3646,20.0331,2228016,212.4802,131072,true,true
1048576,12,131072,8,26.8143,20.9876,2743568,261.6470,131072,true,true
1048576,13,131072,8,25.4052,20.0320,3516064,335.3180,131072,true,true
1048576,14,131072,8,20.7128,18.3641,4202408,400.7729,131072,true,true
1048576,15,131072,8,23.8499,17.5247,4980664,474.9931,131072,true,true
1048576,16,131072,8,21.8972,17.3786,5505264,525.0229,131072,true,true
1048576,17,131072,8,20.1172,15.2973,0,0.0000,131072,true,true
1048576,18,131072,8,19.9322,16.8721,777552,74.1531,131072,true,true
1048576,19,131072,8,19.7305,16.2984,1563616,149.1180,131072,true,true
1048576,20,131072,8,19.0625,15.6994,2228056,212.4840,131072,true,true
1048576,21,131072,8,19.1040,18.1788,2990904,285.2348,131072,true,true
1048576,22,131072,8,18.4628,15.8448,3917832,373.6336,131072,true,true
1048576,23,131072,8,19.8913,15.8805,4682112,446.5210,131072,true,true
1048576,24,131072,8,21.3489,17.2544,5124592,488.7192,131072,true,true
1048576,25,131072,8,20.9088,15.8907,5374128,512.5168,131072,true,true
1048576,26,131072,8,19.7783,17.0725,393280,37.5061,131072,true,true
1048576,27,131072,8,19.5778,16.7407,1040512,99.2310,131072,true,true
1048576,28,131072,8,19.7080,16.0869,1966120,187.5038,131072,true,true
1048576,29,131072,8,19.0893,15.4108,2618768,249.7452,131072,true,true
1048576,30,131072,8,18.5177,16.3939,2994032,285.5331,131072,true,true
10485760,1,131072,80,178.3138,77.1229,3931688,37.4955,131072,true,true
10485760,2,131072,80,73.5992,19.1772,5505624,52.5057,131072,true,true
10485760,3,131072,80,54.4902,17.9280,1318512,12.5743,131072,true,true
10485760,4,131072,80,52.9519,18.2651,3284688,31.3252,131072,true,true
10485760,5,131072,80,52.7759,17.8385,4974232,47.4380,131072,true,true
10485760,6,131072,80,53.7895,17.3773,906472,8.6448,131072,true,true
10485760,7,131072,80,52.0672,18.6279,3028488,28.8819,131072,true,true
10485760,8,131072,80,55.7286,18.8620,5500304,52.4550,131072,true,true
10485760,9,131072,80,55.7538,22.9542,1431128,13.6483,131072,true,true
10485760,10,131072,80,65.8107,18.8924,3935080,37.5278,131072,true,true
10485760,11,131072,80,54.8698,17.3709,5633536,53.7256,131072,true,true
10485760,12,131072,80,55.2838,23.0341,1445056,13.7811,131072,true,true
10485760,13,131072,80,69.7597,23.3002,4225480,40.2973,131072,true,true
10485760,14,131072,80,60.4609,23.1609,5898328,56.2508,131072,true,true
10485760,15,131072,80,57.5968,20.6682,2229952,21.2665,131072,true,true
10485760,16,131072,80,55.4138,19.3636,4336936,41.3602,131072,true,true
10485760,17,131072,80,56.8447,18.9417,172688,1.6469,131072,true,true
10485760,18,131072,80,52.5321,21.1441,2754344,26.2675,131072,true,true
10485760,19,131072,80,62.0813,20.6541,4587472,43.7495,131072,true,true
10485760,20,131072,80,56.3657,24.9460,1006032,9.5943,131072,true,true
10485760,21,131072,80,70.4681,21.7350,2839344,27.0781,131072,true,true
10485760,22,131072,80,57.8106,20.4902,5366072,51.1749,131072,true,true
10485760,23,131072,80,57.6676,19.2657,1444760,13.7783,131072,true,true
10485760,24,131072,80,56.9718,18.8811,3530664,33.6710,131072,true,true
10485760,25,131072,80,51.2563,18.5093,5778872,55.1116,131072,true,true
10485760,26,131072,80,50.7926,17.2424,1682704,16.0475,131072,true,true
10485760,27,131072,80,48.5017,19.9112,3552336,33.8777,131072,true,true
10485760,28,131072,80,48.4718,17.5923,6146936,58.6217,131072,true,true
10485760,29,131072,80,48.2687,17.6637,4986392,47.5539,131072,true,true
10485760,30,131072,80,51.5618,18.2610,3010848,28.7137,131072,true,true
104857600,1,131072,800,529.1628,154.1208,5677512,5.4145,131072,true,true
104857600,2,131072,800,511.4963,152.7654,1987688,1.8956,131072,true,true
104857600,3,131072,800,506.6120,164.5861,1523784,1.4532,131072,true,true
104857600,4,131072,800,550.8555,157.3125,4682224,4.4653,131072,true,true
104857600,5,131072,800,498.0194,155.1986,4122864,3.9319,131072,true,true
104857600,6,131072,800,495.1265,159.6535,1598984,1.5249,131072,true,true
104857600,7,131072,800,481.9963,187.8229,2534128,2.4167,131072,true,true
104857600,8,131072,800,543.8283,215.6937,3757376,3.5833,131072,true,true
104857600,9,131072,800,548.4290,193.4530,476168,0.4541,131072,true,true
104857600,10,131072,800,550.1979,194.0699,3441376,3.2820,131072,true,true
104857600,11,131072,800,523.8035,211.7540,836744,0.7980,131072,true,true
104857600,12,131072,800,564.1165,208.2340,3258888,3.1079,131072,true,true
104857600,13,131072,800,609.0121,215.2454,1300192,1.2400,131072,true,true
104857600,14,131072,800,538.7237,207.0361,920240,0.8776,131072,true,true
104857600,15,131072,800,542.2987,202.0504,2050832,1.9558,131072,true,true
104857600,16,131072,800,550.6641,221.4265,986936,0.9412,131072,true,true
104857600,17,131072,800,571.9456,222.3158,3167936,3.0212,131072,true,true
104857600,18,131072,800,636.4262,219.7853,3228104,3.0786,131072,true,true
